No,Ekstraksi Fitur,Seleksi Fitur,Kernel,C,Gamma,Jumlah Data,Jumlah Fitur,"CM(TN, FP, FN, TP)",Precision,Recall,Accuracy,F1-Score
50,TFIDF,CFS,rbf,1,auto,720,900,"(89,","1,","71,",19),0.95,0.21,0.6,0.35
51,TFIDF,CFS,rbf,1,0.1,720,900,"(81,","9,","52,",38),0.81,0.42,0.66,0.55
52,TFIDF,CFS,rbf,10,scale,720,900,"(62,","28,","24,",66),0.7,0.73,0.71,0.72
53,TFIDF,CFS,rbf,10,auto,720,900,"(89,","1,","71,",19),0.95,0.21,0.6,0.35
54,TFIDF,CFS,rbf,10,0.1,720,900,"(68,","22,","27,",63),0.74,0.7,0.73,0.72
55,BoW,None,linear,0.1,scale,720,3072,"(67,","23,","28,",62),0.73,0.69,0.72,0.71
56,BoW,None,linear,0.1,auto,720,3072,"(67,","23,","28,",62),0.73,0.69,0.72,0.71
57,BoW,None,linear,0.1,0.1,720,3072,"(67,","23,","28,",62),0.73,0.69,0.72,0.71
58,BoW,None,linear,1,scale,720,3072,"(63,","27,","19,",71),0.72,0.79,0.74,0.76
59,BoW,None,linear,1,auto,720,3072,"(63,","27,","19,",71),0.72,0.79,0.74,0.76
60,BoW,None,linear,1,0.1,720,3072,"(63,","27,","19,",71),0.72,0.79,0.74,0.76
61,BoW,None,linear,10,scale,720,3072,"(63,","27,","21,",69),0.72,0.77,0.73,0.74
62,BoW,None,linear,10,auto,720,3072,"(63,","27,","21,",69),0.72,0.77,0.73,0.74
63,BoW,None,linear,10,0.1,720,3072,"(63,","27,","21,",69),0.72,0.77,0.73,0.74
64,BoW,None,rbf,0.1,scale,720,3072,"(51,","39,","27,",63),0.62,0.7,0.63,0.66
65,BoW,None,rbf,0.1,auto,720,3072,"(2,","88,","0,",90),0.51,1,0.51,0.67
66,BoW,None,rbf,0.1,0.1,720,3072,"(65,","25,","50,",40),0.62,0.44,0.58,0.52
67,BoW,None,rbf,1,scale,720,3072,"(59,","31,","20,",70),0.69,0.78,0.72,0.73
68,BoW,None,rbf,1,auto,720,3072,"(2,","88,","0,",90),0.51,1,0.51,0.67
69,BoW,None,rbf,1,0.1,720,3072,"(58,","32,","25,",65),0.67,0.72,0.68,0.7
70,BoW,None,rbf,10,scale,720,3072,"(62,","28,","16,",74),0.73,0.82,0.76,0.77
71,BoW,None,rbf,10,auto,720,3072,"(75,","15,","39,",51),0.77,0.57,0.7,0.65
72,BoW,None,rbf,10,0.1,720,3072,"(62,","28,","24,",66),0.7,0.73,0.71,0.72
73,BoW,ChiSquare,linear,0.1,scale,720,900,"(69,","21,","27,",63),0.75,0.7,0.73,0.72
74,BoW,ChiSquare,linear,0.1,auto,720,900,"(69,","21,","27,",63),0.75,0.7,0.73,0.72
75,BoW,ChiSquare,linear,0.1,0.1,720,900,"(69,","21,","27,",63),0.75,0.7,0.73,0.72
76,BoW,ChiSquare,linear,1,scale,720,900,"(56,","34,","21,",69),0.67,0.77,0.69,0.72
77,BoW,ChiSquare,linear,1,auto,720,900,"(56,","34,","21,",69),0.67,0.77,0.69,0.72
78,BoW,ChiSquare,linear,1,0.1,720,900,"(56,","34,","21,",69),0.67,0.77,0.69,0.72
79,BoW,ChiSquare,linear,10,scale,720,900,"(57,","33,","23,",67),0.67,0.74,0.69,0.71
80,BoW,ChiSquare,linear,10,auto,720,900,"(57,","33,","23,",67),0.67,0.74,0.69,0.71
81,BoW,ChiSquare,linear,10,0.1,720,900,"(57,","33,","23,",67),0.67,0.74,0.69,0.71
82,BoW,ChiSquare,rbf,0.1,scale,720,900,"(64,","26,","38,",52),0.67,0.58,0.64,0.62
83,BoW,ChiSquare,rbf,0.1,auto,720,900,"(2,","88,","0,",90),0.51,1,0.51,0.67
84,BoW,ChiSquare,rbf,0.1,0.1,720,900,"(60,","30,","32,",58),0.66,0.64,0.66,0.65
85,BoW,ChiSquare,rbf,1,scale,720,900,"(66,","24,","23,",67),0.74,0.74,0.74,0.74
86,BoW,ChiSquare,rbf,1,auto,720,900,"(2,","88,","0,",90),0.51,1,0.51,0.67
87,BoW,ChiSquare,rbf,1,0.1,720,900,"(65,","25,","23,",67),0.73,0.74,0.73,0.74
88,BoW,ChiSquare,rbf,10,scale,720,900,"(61,","29,","20,",70),0.71,0.78,0.73,0.74
89,BoW,ChiSquare,rbf,10,auto,720,900,"(76,","14,","37,",53),0.79,0.59,0.72,0.68
90,BoW,ChiSquare,rbf,10,0.1,720,900,"(61,","29,","22,",68),0.7,0.76,0.72,0.73
91,BoW,CFS,linear,0.1,scale,720,900,"(70,","20,","30,",60),0.75,0.67,0.72,0.71
92,BoW,CFS,linear,0.1,auto,720,900,"(70,","20,","30,",60),0.75,0.67,0.72,0.71
93,BoW,CFS,linear,0.1,0.1,720,900,"(70,","20,","30,",60),0.75,0.67,0.72,0.71
94,BoW,CFS,linear,1,scale,720,900,"(58,","32,","20,",70),0.69,0.78,0.71,0.73
95,BoW,CFS,linear,1,auto,720,900,"(58,","32,","20,",70),0.69,0.78,0.71,0.73
96,BoW,CFS,linear,1,0.1,720,900,"(58,","32,","20,",70),0.69,0.78,0.71,0.73
97,BoW,CFS,linear,10,scale,720,900,"(61,","29,","19,",71),0.71,0.79,0.73,0.75
98,BoW,CFS,linear,10,auto,720,900,"(61,","29,","19,",71),0.71,0.79,0.73,0.75
99,BoW,CFS,linear,10,0.1,720,900,"(61,","29,","19,",71),0.71,0.79,0.73,0.75
100,BoW,CFS,rbf,0.1,scale,720,900,"(72,","18,","47,",43),0.7,0.48,0.64,0.57
101,BoW,CFS,rbf,0.1,auto,720,900,"(5,","85,","0,",90),0.51,1,0.53,0.68
102,BoW,CFS,rbf,0.1,0.1,720,900,"(74,","16,","46,",44),0.73,0.49,0.66,0.59
103,BoW,CFS,rbf,1,scale,720,900,"(68,","22,","25,",65),0.75,0.72,0.74,0.73
104,BoW,CFS,rbf,1,auto,720,900,"(5,","85,","0,",90),0.51,1,0.53,0.68
105,BoW,CFS,rbf,1,0.1,720,900,"(68,","22,","27,",63),0.74,0.7,0.73,0.72
106,BoW,CFS,rbf,10,scale,720,900,"(59,","31,","17,",73),0.7,0.81,0.73,0.75
107,BoW,CFS,rbf,10,auto,720,900,"(78,","12,","40,",50),0.81,0.56,0.71,0.66
108,BoW,CFS,rbf,10,0.1,720,900,"(59,","31,","17,",73),0.7,0.81,0.73,0.75
